id,formula,n_atoms,theta,lam,omega
agm012491439,LiV3Ru4,8,99.12,0.7143,389.28
agm003219331,LiNbN2,16,420.32,1.825,747.88
agm005818026,Li6BiSb,8,110.45,0.7248,428.02
agm152594415,Li12Bi3Sb,16,97.38,0.7214,402.33
agm003203753,KHg5,6,39.79,0.6362,190.61
agm158511737,K3Hg,8,98.02,1.0325,261.3
agm081828150,K2Hg,6,102.99,1.1189,254.65
agm051837181,TcPd7,8,10.34,0.295,313.89
agm002156061,LaIr,4,92.29,1.1163,227.45
agm003186057,Fe3Ir,4,29.26,0.4165,346.99
agm001190984,Pa3Bi,4,23.62,0.484,180.13
agm003299787,La7Sc,8,8.74,0.3085,215.33
agm069798474,La2ZnRu,8,95.9,0.9475,280.49
agm063033196,Sc6Zn5Ru,12,49.28,0.4995,386.14
agm081601707,TlSe,8,70.06,0.8777,224.71
agm071424774,Tl2Se,12,94.79,1.087,229.16
agm002185730,PtSe,4,41.9,0.493,310.73
agm014453047,K2Tl3Pt,6,62.0,0.8423,205.7
agm005676799,YHBr2,4,200.85,1.294,419.92
agm011552722,Li(AsO2)5,16,426.27,1.5897,834.36
agm016227652,CaI2,12,156.92,1.744,285.41
agm005534070,La3Ni4,14,89.33,0.7664,323.24
agm002306261,ZrP2,6,126.58,0.7858,453.6
agm003196715,TlCd5,6,6.07,0.2729,242.44
agm002054024,TlCd,8,6.11,0.2909,211.04
agm005839981,Li5Tl2Cd,8,61.79,0.5743,343.22
agm077921443,LiPN2,16,602.62,1.378,1229.19
agm012395201,La(ZnP)3,14,115.56,0.82,420.54
agm071035290,TiBr4,15,237.63,1.528,446.51
agm003198817,Tl5Te,6,14.14,0.394,179.07
agm107273151,KTl2Sb,16,67.29,0.8784,207.76
agm008106226,SO3,8,505.76,1.024,1294.03
agm075835146,RbO2,6,323.85,2.215,524.15
agm081287923,RbO2,3,349.42,2.1364,542.5
agm097239666,K5Rb,6,5.22,0.25,277.3
agm078541022,Rb2S3,10,203.03,1.4613,390.59
agm089910271,Rb2O2,8,315.66,2.2711,460.17
agm005530591,Rb2S3,10,202.44,1.482,387.31
agm095064560,KRb,6,4.24,0.25,236.74
agm091143552,KRb,6,4.59,0.25,233.88
agm002177576,Rb3O,8,256.01,2.608,393.05
agm093602911,Rb,7,3.6,0.25,200.47
agm144727188,Rb,7,3.56,0.25,201.98
agm010203482,Rb,6,3.54,0.25,194.14
agm110054812,KRb6,7,3.87,0.25,202.6
agm135604955,KRb5,6,3.93,0.25,204.2
agm008008342,K3Rb,4,4.87,0.25,261.21
agm093107084,K2Rb,6,4.54,0.25,254.28
agm005595961,K2RbO,8,310.97,2.4266,480.19
agm096922875,K6Rb,7,4.97,0.25,277.84
agm069132838,K3Rb,4,4.98,0.25,261.99
agm005543743,K4Rb,5,4.87,0.25,276.08
agm012264777,K6Rb,7,5.3,0.25,279.81
agm082018394,KRb2,6,4.21,0.25,229.91
agm014762116,K7Rb,8,5.3,0.25,287.43
agm158354425,K5Rb3,8,4.89,0.25,251.53
agm010075217,K3Rb5,8,4.0,0.25,222.9
agm021677718,AcLa7,8,3.78,0.25,193.33
agm137737600,AcLa,6,2.95,0.25,170.44
agm119865391,AcLa3,8,3.28,0.25,185.29
agm002342832,LiPOs,6,95.22,0.7499,385.64
agm004447699,CuCl,8,171.38,0.9304,517.51
agm003298180,TeBr4,10,130.72,1.024,339.2
agm002042305,Te2Br,6,48.42,0.5596,280.88
agm002055284,ICl,4,79.1,0.6357,376.72
agm002156079,LaPt,8,96.22,1.1792,222.3
agm003210853,As2Pd,12,8.44,0.2654,383.31
agm025109239,K3Zn2I7,12,141.19,1.5277,286.92
agm003448475,K2ZnI4,14,142.3,1.5579,267.14
agm070973126,AgI,8,79.01,0.7428,288.15
agm003203586,La5Cd,6,13.63,0.368,209.44
agm009605709,La5Cd3,8,27.08,0.4951,215.05
agm081749242,MoPd4,5,6.5,0.262,314.96
agm003261063,NiAu7,8,17.47,0.3918,230.55
agm002184813,ScSe,4,205.68,1.321,412.43
agm075705218,PbSe,6,25.48,0.448,239.48
agm146953643,K6TeS4,11,200.16,1.5272,401.95
agm012360757,La6In,7,16.31,0.3957,209.19
agm002184900,ScTl,2,17.37,0.3837,239.97
agm003164607,Tl3In,4,8.58,0.322,189.52
agm008223734,Tl5In,6,6.26,0.298,184.33
agm011494938,Tl5In2,7,7.19,0.3076,192.35
agm082738176,Tl5In3,8,9.76,0.334,196.39
agm003158193,Tl2In,3,9.53,0.33,193.77
agm007896236,Tl2In3,5,11.11,0.3364,211.09
agm039638101,Tl5In2,7,7.3,0.3049,189.98
agm007913815,SnAu6,7,17.61,0.3991,219.69
agm002189015,SnAu3,8,29.17,0.511,221.5
agm001850349,Sn2Au,3,48.39,0.6296,244.67
agm106260398,Cd2Ag,6,17.15,0.358,277.06
agm003194897,La3Ag2,5,41.22,0.6122,223.01
agm003187161,LaCd2Ag,4,49.42,0.6235,243.26
agm002211433,Fe2Ni,3,13.21,0.282,469.02
agm010129380,Fe6Ni,7,10.53,0.2676,452.04
agm003295044,FeNi2,6,15.57,0.29,468.54
agm003287328,Zn3Pd2,5,53.6,0.5329,347.05
agm012575526,Zn5Pd3,8,53.07,0.5152,350.46
agm040120828,In2Sn,6,12.37,0.34,243.38
agm157864588,La2C,6,192.88,1.555,351.05
agm002045688,LaC,4,199.61,1.3686,399.96
agm003768112,KTaI6,8,119.33,1.498,264.3
agm003205226,Sc2Te3,10,105.07,0.916,314.16
agm003708933,KSrBr3,10,213.04,2.1175,321.78
agm088914568,KH2Br,16,307.46,1.672,542.29
agm017413473,KSr2Br5,16,196.29,2.098,321.84
agm052097491,Cd(InCl4)2,11,236.75,1.5224,460.92
agm101245165,LiCd2Cl9,12,242.31,1.4085,519.94
agm008146985,CdIn2,6,7.65,0.286,250.48
agm028104104,LiIn2Cl5,16,235.96,1.7053,456.9
agm001075736,K2CaCl4,7,299.38,2.275,484.32
agm027376702,La5InTe8,14,77.05,0.8884,227.32
agm003163763,Co3Rh,4,34.26,0.4,417.68
agm002144641,CoRh3,4,33.69,0.43,349.8
agm003262242,LaMnSi2,8,92.09,0.6862,397.21
agm003203736,Ta5Fe,6,12.61,0.3282,239.24
agm002182447,RbPt2S3,12,122.36,1.0186,313.59
agm142384360,AuI,8,11.17,0.322,257.41
agm009460439,Zr3Cd5,8,30.52,0.439,279.19
agm007034619,KNaH6Pd,9,318.52,1.0134,857.53
agm115869790,InI,8,90.87,1.042,230.44
agm003196095,SbAu5,6,17.54,0.397,222.98
agm010152484,AlCu3,12,32.34,0.3805,465.36
agm003187764,LiAlCu2,4,112.49,0.6421,517.29
agm015143639,ScPt,6,96.19,0.9506,284.15
agm105343341,Hg3I2,10,39.5,0.58,228.67
agm002129133,SBr,4,70.58,0.478,551.96
agm005532127,S5Br2,14,38.24,0.364,625.58
agm003261532,Fe5Pt3,8,38.76,0.4862,321.33
agm010210923,Fe2Pt,6,32.09,0.4251,330.0
agm007928057,FePt7,8,12.88,0.3512,240.93
agm007971143,Fe5Pt3,8,34.2,0.4525,321.37
agm007951932,Ba3Sr5,8,4.56,0.2657,199.32
agm136664347,BaSr6,7,4.17,0.2577,213.64
agm116033209,Ba7Sr,8,3.64,0.2635,169.71
agm107201399,Ba5Sr3,8,5.02,0.277,180.71
agm005542410,BaSr3,4,4.71,0.2635,207.0
agm003203509,BaSr5,6,4.89,0.268,212.09
agm007901516,Ba4Sr3,7,4.78,0.2725,183.61
agm003203501,BaSr2,6,5.57,0.274,201.87
agm008037318,HfAs2,6,92.23,0.8836,301.48
agm010131877,Co4Ir3,7,28.6,0.4146,318.28
agm001851105,Al2Fe,3,44.55,0.382,565.87
agm135890311,Co2Ni,6,10.11,0.259,468.87
agm002195743,Al3Fe7,10,28.22,0.3462,491.14
agm048737400,CoNi7,8,9.46,0.2568,468.8
agm003203652,CoNi5,6,9.34,0.2575,468.74
agm010134955,CoNi6,7,9.74,0.2551,469.23
agm070007015,Co5Ni,6,9.89,0.2575,468.51
agm003194997,Co4Ni,5,10.11,0.2608,468.88
agm005539371,BaSi,8,72.16,0.7395,284.29
agm070057356,SrYHg6,8,42.0,0.6618,204.64
agm005417755,Ba2Ni3,5,62.77,0.5779,352.06
agm075653112,KCrSe2,12,136.0,1.0388,366.26
agm003200059,Ba2Cd,6,73.75,0.922,219.32
agm008032013,BaSn,8,69.81,0.8628,216.66
agm005543911,Fe4Ge,5,18.78,0.3127,445.24
agm126104274,Fe8Ge,9,14.29,0.2878,448.37
agm002235949,Cd4Rh,5,35.84,0.4624,285.85
agm003196678,Cd5Rh,6,28.11,0.427,279.31
agm003162743,BaAu3,4,74.79,0.9925,211.14
agm084854513,Ba3Au,8,120.99,1.735,222.6
agm003210639,Ba2Pb,12,78.27,1.0794,180.82
agm002191845,V3Au2,5,49.07,0.5533,307.13
agm003193324,Sr2Au3,5,99.68,1.2601,220.8
agm003191287,BaSrAu2,4,119.44,1.5257,215.02
agm003261667,Ir7Pt,8,6.01,0.268,234.73
agm038710784,RuPt7,8,5.66,0.268,236.66
agm107694811,BaS3,8,188.13,1.264,411.02
agm076546088,BaS,12,161.11,1.771,303.2
agm073848846,BaS,12,159.86,1.6909,299.67
agm005255606,BaS3,16,181.07,1.3364,388.34
agm003220280,Hf5Ga3,16,48.92,0.6041,256.17
agm008261099,Sm,1,3.36,0.25,185.89
agm003204175,YSc2,6,13.13,0.306,342.75
agm013746827,Ca2La3,5,6.13,0.268,235.22
agm021295653,CaLa7,8,5.49,0.2725,211.47
agm004456383,ScBi,4,69.22,0.7591,255.28
agm003606933,LaScBi,6,60.14,0.7468,229.45
agm050401540,La2ScBi3,6,80.37,1.0,219.97
agm003464816,K2SeBr4,7,193.76,1.657,337.64
agm013807617,Li3AgBr4,8,254.94,1.8183,460.11
agm005286361,HfCrAgS4,14,174.14,1.1164,428.65
agm003190588,CoPt3,4,12.94,0.34,256.35
agm003264300,Co3Pt,8,35.17,0.43,358.65
agm002265168,CoPt2,12,29.22,0.45,268.33
agm003264528,BaSe3,8,141.79,1.3705,283.68
agm158219764,K2SeBr6,9,180.98,1.5532,328.8
agm007836727,Zn3Ni4,7,36.18,0.3949,443.6
agm009183437,Ba3Zn4,7,76.1,0.7328,279.72
agm003183655,ZnNiRh2,4,72.27,0.589,371.14
agm008027216,ZnNi2,6,29.87,0.367,449.92
agm007903625,ZnNi7,8,18.34,0.3085,462.06
agm003257873,Fe5Co2,7,10.04,0.2684,452.0
agm003196818,FeCo2,6,11.45,0.2714,450.25
agm007843474,Fe5Co2,7,11.15,0.2702,451.56
agm002140968,BaCa3,8,9.07,0.2995,274.31
agm111632209,BaCa5,6,8.53,0.283,297.18
agm003290258,Ta4W3,7,60.99,0.7555,220.69
agm003264878,Ta3W5,8,46.86,0.6646,222.0
agm005533607,Ta4W3,7,46.08,0.6157,222.3
agm146311777,Ta5W3,8,36.17,0.5466,221.18
agm117036074,Ta3W,8,33.81,0.5367,219.95
agm014568779,TaW10,11,14.97,0.3706,223.67
agm003204299,LiMnP,6,219.9,0.925,627.41
agm026988781,Li(Mn3P2)2,11,120.71,0.6875,548.34
agm003161293,AsRh2,3,13.68,0.3014,348.95
agm005548147,CrFe7,8,13.81,0.2883,458.23
agm007968258,Y3Au5,8,85.2,1.042,229.49
agm003208495,Rh3Se8,11,43.55,0.4488,385.4
agm002158320,LiCu3O2,12,462.57,1.9672,745.47
agm102703817,LiCuO2,16,571.23,2.1154,870.33
agm003214003,Cu4O3,14,399.18,1.636,706.04
agm002144920,ZrCo,8,90.12,0.6831,383.79
agm006508155,Ba4CaH10,15,187.8,1.0494,513.2
agm005818650,KHg6Bi,8,34.06,0.5824,193.3
agm002314538,ScCu3,12,53.5,0.4824,421.81
agm002184322,ScCu2,6,71.44,0.5624,423.08
agm002201383,SbBr11,12,76.15,0.6595,377.91
agm003185942,Ir3Rh,4,6.27,0.268,251.28
agm101060079,Ir3Rh5,8,9.81,0.292,281.75
agm003298170,IrRh4,5,7.23,0.2644,299.83
agm008049195,Ir2Rh,6,7.85,0.29,257.31
agm002138906,CdBr2,6,164.93,1.393,332.32
agm010183069,BaGe2,6,75.17,0.754,309.5
agm070997842,HgF2,12,223.32,1.57,395.49
agm003449745,Li2HgF4,14,401.5,2.68,632.13
agm077688271,Li2TiF6,9,729.64,2.761,1031.17
agm088920511,LiBeAs,6,185.9,0.7921,627.81
agm003196967,CoRu5,6,17.62,0.33,346.83
agm002242358,BaSiRh,6,115.68,0.961,323.02
agm050254833,La4SbTe3,8,93.75,1.1387,239.26
agm003157686,PrS,2,174.41,1.555,333.14
agm014137181,La2Pr3,5,4.42,0.2608,206.64
agm008004662,La3Pr,4,4.52,0.2612,204.58
agm010215614,LaPr2,6,4.73,0.262,206.87
agm003213916,Mn5C2,14,291.04,1.15,676.46
agm005534385,Ca4Hg3,7,71.93,0.7643,245.34
agm002141438,CaHg2,3,77.03,0.925,221.22
agm003264655,Fe5Si3,8,15.18,0.2844,519.24
agm002239691,AuSeBr,12,20.15,0.3512,325.98
agm078721715,LiScTe2,4,135.16,1.0528,353.9
agm002133560,Al2Os,6,71.78,0.604,371.65
agm002156525,Li2IrO3,12,408.28,2.098,652.88
agm006039848,LiGe3Te4,8,47.97,0.5628,312.26
agm111505712,Ba4P2Br,7,150.46,1.651,272.71
agm146259457,ThI4,10,121.59,1.474,236.88
agm003263633,ZrSc,8,7.98,0.268,335.95
agm002333677,NbCo,8,41.0,0.446,388.14
agm078052048,KHgSb,3,79.35,0.988,230.17
agm002162189,MnBr3,8,209.35,1.519,403.04
agm080858311,PdCl2,12,216.45,1.114,501.02
agm009418918,Hg3Pd5,8,15.34,0.355,258.39
agm009645343,Hg3Pd4,7,15.49,0.3614,251.74
agm005974742,Ca(Mn2P)2,7,91.52,0.5935,505.73
agm099341773,Li2VF6,9,766.69,2.7235,1024.19
agm078647243,LiVN2,16,524.57,1.8115,963.28
agm088467123,NdAl,8,42.39,0.5064,295.46
agm005967006,La(NdSi2)2,7,92.02,0.756,343.89
agm091535934,La3Nd,8,5.02,0.265,202.94
agm069296421,La7Nd,8,4.5,0.259,203.23
agm007939585,La5Nd3,8,5.06,0.271,203.21
agm003203133,CuBr2,6,175.28,1.204,428.63
agm050695653,CuBr2,3,197.21,1.204,428.05
agm049448099,TbY,8,9.79,0.313,225.69
agm017536758,LaTb5Y2,8,6.13,0.286,211.72
agm046172761,Ca(AsCl4)2,11,292.78,1.5745,536.56
agm005418736,Mn2Te3,5,81.74,0.745,323.24
agm002162796,Mn2Te3,10,71.0,0.6743,322.86
agm003262929,ReRu3,8,20.8,0.385,298.52
agm095084762,La2Gd,3,5.84,0.28,200.41
agm008149228,Ta5Ru,6,23.87,0.439,230.35
agm001417658,PuGe,4,55.58,0.6995,227.64
agm080021893,ReCl6,7,265.04,1.384,515.93
agm070937812,ReCl6,7,257.27,1.384,516.08
agm128547744,Zn6Os,7,33.66,0.415,366.1
agm137565316,NaHg6,7,36.15,0.571,202.23
agm002109088,NaHg,4,77.89,0.892,249.62
agm115913294,Na7Hg,8,48.09,0.4908,369.48
agm022909902,La4YHg2,7,40.99,0.6403,205.3
agm105246682,KAlCl4,12,321.44,2.0005,549.69
agm005830035,BiSbTe3,10,9.25,0.3085,237.42
agm088995408,La6Se8S,15,136.46,1.3167,279.74
agm003264690,Ir5Ru3,8,5.18,0.25,261.55
agm003192640,LaYTe2,4,98.82,1.096,257.26
agm002321360,SrIr2,12,75.88,0.8885,232.23
agm102442057,Nb2Te,6,30.22,0.4375,298.03
agm003210645,Ca2In,12,67.25,0.6449,310.52
agm096707166,K4Br2O,7,268.54,2.2236,411.46
agm088527783,RbBr3,8,159.71,1.534,302.14
agm005104938,KRb2Br,4,104.84,1.213,248.71
agm061759241,CaNd,4,7.12,0.2815,244.63
agm002117444,MgO,4,629.58,2.167,964.35
agm077621953,KAsO3,10,404.9,1.843,711.23
agm002176172,CdO,8,312.22,1.825,500.45
agm002924583,Ca2AgH2,5,148.43,0.8391,493.39
agm022472775,La3TbY4,8,9.93,0.322,227.53
agm034627825,Tb2Y3In,6,20.85,0.41,236.21
agm148910249,TbY2,6,8.17,0.298,236.74
agm010210717,Tb3Y,4,6.74,0.295,211.58
agm012402850,Tb3YIn4,8,42.09,0.5959,225.69
agm025290167,Tb5Y3,8,8.66,0.304,218.35
agm047239877,La3Tb4Y,8,5.67,0.2725,206.16
agm015159647,LaTbY2,8,9.05,0.313,225.96
agm013863248,LaTbY2,4,9.58,0.313,225.62
agm124175070,La4Tb3Y,8,5.62,0.277,206.61
agm096773412,La2TbIn,8,36.0,0.556,215.02
agm024864073,La4Tb2Y,7,6.2,0.2809,207.51
agm034334711,Mn3NiRh2,6,69.86,0.5779,381.27
agm001281064,Tb3In,4,35.69,0.556,214.27
agm110024495,La2YIn,8,36.69,0.556,230.17
agm015255319,La4TbY3,8,7.48,0.2995,220.65
agm016040814,La4Tb3Y,8,5.57,0.277,206.64
agm031056104,La5Tb2Y,8,5.35,0.2725,207.23
agm010169100,TbY,4,6.23,0.277,225.63
agm137793741,InHg7,8,6.85,0.2966,193.49
agm052717506,InHg,8,15.8,0.382,208.35
agm114310554,In2Hg,6,11.4,0.349,221.41
agm096832205,InHg7,8,6.91,0.2995,187.88
agm003607849,CaInHg,6,73.59,0.8631,244.65
agm098668100,InHg3,4,7.63,0.2995,206.02
agm070153968,InHg2,3,11.52,0.349,199.62
agm045952652,In4Hg3,7,12.0,0.3394,222.82
agm055362040,InHg3,4,10.9,0.349,195.61
agm095600432,InHg,6,7.08,0.294,210.01
agm130790625,InHg,8,13.92,0.3751,216.41
agm137101551,InHg4,5,8.46,0.3134,197.01
agm024602692,Ca(In2Hg)2,7,44.44,0.6035,236.13
agm003542964,K3SbSe3,14,152.08,1.4343,340.68
agm102719141,Li4BrCl3,8,433.53,2.167,659.74
agm018120310,Ca4Te3Se,8,163.01,1.3412,321.98
agm008061884,Ni4Ir,5,18.82,0.337,379.23
agm003158204,NiIr2,3,14.85,0.337,275.36
agm039163559,Ca4TeSe3,8,184.34,1.5437,363.22
agm019004469,Ca3TeSe2,12,166.66,1.51,355.4
agm002174556,Ca3TeO6,10,419.27,2.116,682.34
agm089816351,K2SbBr7,10,179.93,1.605,331.19
agm005552395,Li2Pb2S3,7,166.09,1.1693,388.55
agm154442155,Ba3O5,8,279.43,2.275,431.89
agm093078607,Ti4O,5,399.85,1.96,658.2
agm143557115,LiY4Zn3,8,46.02,0.5113,322.49
agm006025319,Li4YZn2,7,64.64,0.4846,513.36
agm089807770,LiY4Zn3,8,44.49,0.5113,322.25
agm047868986,LiY4Zn3,8,41.35,0.4898,321.95
agm002041676,BaIBr,6,137.94,1.8628,239.32
agm003206503,Al2Se3,10,191.3,1.096,482.25
agm055170859,YHoCd4,6,38.36,0.5459,250.6
agm005179346,LaYHoCd,4,20.58,0.4236,222.98
agm003299919,LaHo7,8,5.38,0.2792,192.47
agm017458270,La3YHo4,8,8.01,0.3085,202.2
agm010009997,La2Y3Ho2,7,7.44,0.2954,220.08
agm078787085,LaY4Ho,6,6.8,0.2825,236.07
agm008060344,Y2Ho,6,4.63,0.254,232.46
agm008205870,Y5Ho,6,4.9,0.253,246.96
agm131296994,LaYHo4,6,6.65,0.2905,202.32
agm124120499,Y5Ho3,8,4.19,0.2541,230.37
agm001124367,La2YHo,4,9.52,0.325,210.31
agm066136660,La2Ho,6,7.98,0.3085,198.34
agm006077484,YHo5Cd6,12,29.27,0.4881,222.54
agm021296679,La5Ho3,8,7.96,0.3085,198.26
agm006067659,Ba4SbI5,10,125.06,1.7057,221.98
agm006038354,Ca4Te3S,16,155.38,1.348,337.81
agm003295152,Tl2O,12,185.5,1.888,300.36
agm003215806,Tl4O3,14,179.97,1.888,323.23
agm006132270,Ba5TlI4,10,120.32,1.6558,211.76
agm003261873,Ta5Mo3,8,35.74,0.519,245.61
agm003202653,TaMo,6,44.48,0.5916,256.28
agm002146831,CuSe,2,132.18,0.835,444.84
agm003264799,Ta7Mo,8,19.18,0.3985,225.0
agm070237503,SbSCl,12,129.92,0.8575,427.06
agm010192243,TlF3,4,316.66,2.374,507.09
agm073708214,TlF,12,209.74,2.374,323.34
agm081115122,TlF,12,207.62,2.374,327.08
agm089913210,CaTlF5,14,373.18,2.653,572.66
agm083324203,LaOF,12,282.19,2.0467,452.06
agm073779795,YOF,9,351.44,1.9535,568.23
agm014736026,AlZn,8,11.14,0.2695,465.47
agm003190361,AlZn3,4,10.0,0.265,426.57
agm109342737,Al5Zn,6,10.76,0.256,543.53
agm003604290,LaHgH,6,73.96,0.7576,277.95
agm130140385,BaH6Pt,16,196.88,0.8755,613.93
agm071035259,AgF,8,293.52,2.095,446.42
agm078522310,AgF2,6,386.83,2.095,611.07
agm086791966,LiAg3F4,16,369.02,2.437,579.38
agm005738233,LiAgF5,14,564.86,2.437,834.22
agm003201849,BaPd2,6,89.78,0.9574,257.44
agm003187328,BaPd,4,110.34,1.2718,246.83
agm002192843,Yb,4,3.3,0.25,186.25
agm109616842,CaYb2,3,5.91,0.28,210.52
agm095803956,CaYb3,4,6.16,0.2886,197.55
agm002133078,AgSn2,6,6.31,0.268,267.79
agm005925525,La2Y2Ag,5,23.42,0.4428,237.26
agm005649059,CaLa2S3,6,185.11,1.612,369.45
agm015881705,CaLa3S4,8,192.85,1.6045,357.82
agm009469088,La3(AlCu)2,7,73.42,0.7065,300.21
agm002251626,LaAl4Cu,12,74.04,0.5499,419.6
agm005545147,GeBr4,5,175.84,1.105,437.77
agm003084834,KGeBr3,5,196.47,1.6159,350.48
agm073243310,HgBr2,9,140.97,1.114,330.13
agm157163435,KHgBr3,10,158.87,1.5691,301.21
agm003560064,CaPb3S4,8,83.44,0.7742,302.67
agm003196503,CaPb5,6,39.75,0.649,188.82
agm005423881,Ca2Pb,6,98.92,0.9815,255.85
agm091196255,Ba2SeS,4,148.03,1.7575,278.29
agm033722633,Ba3Se2S,12,153.14,1.753,271.35
agm156934058,Tl2SeS3,12,94.72,0.8059,310.41
agm002245839,YPt8,9,26.45,0.462,231.39
agm002176980,VBr2O,8,277.3,1.591,532.05
agm100849924,KVO3,10,488.8,2.1914,764.33
agm095409603,Ca4Cd3In,8,59.22,0.6251,287.16
agm002331225,CaCd5,6,34.7,0.4758,277.52
agm074522384,CaCdO2,12,340.88,2.0845,544.6
agm069467126,CaCdIn,12,71.69,0.709,285.23
agm002088948,InTeI,3,65.38,0.664,284.02
agm003299580,Ga6Ag,7,10.31,0.286,355.89
agm106077988,UO3,8,309.66,2.104,505.74
agm016634738,Ca3LaPt4,8,119.25,1.2383,258.43
agm005821713,Ba2NaAg2,5,84.15,0.9088,248.04
agm006084707,Na3AgH4,16,352.13,1.0657,891.57
agm082156588,LaUO4,12,279.23,2.0777,440.02
agm113203701,PrDyTmPuS4,8,162.84,1.474,309.15
agm002837237,BaSr2H,8,64.15,0.763,246.34
agm078377773,SrCl4,5,246.66,1.797,452.51
agm152534253,K(TcAs)3,14,66.69,0.62,350.78
agm001850294,YLu2,3,5.59,0.27,211.32
agm014230839,CaY3Ag4,8,60.95,0.68,276.93
agm002167440,Sr(NiSb)2,10,84.77,0.7765,310.21
agm005537943,Al6Ir5,11,56.58,0.5768,322.75
agm003219287,Ca3Ir,16,138.13,1.114,325.53
agm073448482,BaHN,9,265.99,1.671,520.07
agm002170432,Sc2SeO2,5,313.27,1.7209,561.02
agm010210428,Sr3Rh,8,100.27,0.9682,268.62
agm002323757,Y2InRu2,5,86.98,0.796,292.45
agm002062463,AsI2,6,62.78,0.5956,331.07
agm003206585,PtPb4,10,5.24,0.2757,199.27
agm079173123,BeAu,4,132.65,0.9484,355.72
agm003084564,KGaGe,6,82.61,0.7705,324.15
agm065130476,LiAl2Pd3,6,108.01,0.7424,399.68
agm070262978,Li4AlPd,6,190.97,0.8345,620.38
agm002176924,Ca3SiO,5,316.73,1.753,547.37
agm005238764,SiO2,15,672.56,1.636,1226.31
agm046168652,La7Ce,8,4.02,0.2538,205.25
agm002363962,LaAuO3,10,263.6,1.7461,450.59
agm034201679,CaLa2Au3,6,85.48,1.149,213.96
agm003165899,Y3Tl,4,14.92,0.37,234.29
agm007843116,Al2Cr5,7,13.92,0.2768,513.1
agm074299383,BaPbO2,12,216.64,1.9618,359.93
agm106004815,BiPb7,8,7.68,0.3198,174.06
agm002261154,Ca2Ga3,10,95.54,0.7013,373.84
agm003186302,Li2ZnAu,4,145.02,1.0812,374.35
agm003196145,ZnAu2,6,45.18,0.5704,253.19
agm002193399,ZnAu3,4,52.59,0.6505,240.96
agm039978276,Li2ZnAu5,16,111.61,1.0188,272.11
agm082031513,Li(ZnAu)2,5,112.66,1.0664,304.85
agm002693361,LiAsRh2,4,114.89,0.8414,385.49
agm002938078,La2HgO2,5,148.77,1.654,277.39
agm005859964,Ba2VS4,14,199.65,1.5003,369.31
agm014399879,HfSc3,4,6.8,0.2635,312.66
agm002133633,ScAl2,6,39.02,0.375,526.65
agm003164429,HgPb,4,15.65,0.3985,180.89
agm068021799,Ba2HgPb,8,89.95,1.2912,188.61
agm079005616,HgPb7,8,8.2,0.3243,176.11
agm090405692,PdSe2,12,49.76,0.502,388.96
agm002185718,Pd3Se,8,24.74,0.385,329.76
agm002272298,ZrFe5,6,38.61,0.43,419.06
agm002168737,NiTe2,6,25.77,0.3966,325.48
agm005775622,LiY3Cd2,6,40.8,0.5131,284.13
agm002157896,LiCdGe,9,112.26,0.8424,372.54
agm032154398,LiY2Cd3,6,61.21,0.6231,293.49
agm002189300,Sr2Bi3,5,72.3,0.9837,200.85
agm011919134,Sr5Cd2,7,35.88,0.546,238.83
agm077978781,MgSn2,3,48.27,0.562,298.73
agm005870494,Ba2Al2Ir,5,82.02,0.8322,287.42
agm012999525,Ti2Zn3,5,17.42,0.316,417.67
agm068860917,BaTlCd2,8,48.83,0.6517,215.7
agm003120781,BaCdO2,16,267.95,2.1215,420.8
agm002187856,SrSiNi,12,117.21,0.8085,398.34
agm036962268,CaMg3Tl2,6,41.29,0.529,288.2
agm002286785,CaMgTl,12,65.56,0.6406,285.27
agm002153687,Sr2H6Rh,9,252.06,1.024,670.05
agm003165073,MgOs,4,47.34,0.517,298.68
agm006417723,La(HPt)2,5,93.1,0.7154,390.21
agm003203447,PtAu5,6,8.94,0.315,218.8
agm002078621,LaHPt,6,134.97,0.934,356.66
agm013578837,La2Pt2Au,5,85.15,1.1075,219.49
agm089842480,CaMgH4,12,542.51,1.2012,1226.7
agm003185299,Cu3Pt,4,26.57,0.3925,344.14
agm003161368,CuPt2,3,16.45,0.364,265.31
agm095236344,TaH,4,167.95,0.88,481.62
agm085101437,Ta2H,6,129.72,0.88,421.04
agm008218720,Cu5Pt,6,24.53,0.364,369.46
agm008218439,CuPt5,6,16.4,0.364,245.02
agm005750889,LaH2Cl,8,175.11,1.0208,486.07
agm151408095,SiAu2,3,69.91,0.7437,290.23
agm083705702,Si2Au5,7,33.94,0.5004,269.56
agm002144607,CoPd3,8,25.76,0.394,336.78
agm006688324,Ba(VH4)2,11,282.87,0.8583,898.98
agm003204145,Zr5Rh,6,32.66,0.4525,293.75
agm123111975,Ba4S3Cl,8,177.69,1.9015,302.93
agm129152483,Hf5Zr3,8,5.3,0.2646,232.74
agm008010200,Sr2Ca,3,6.07,0.265,254.33
agm003293531,SrCa,4,6.13,0.2612,273.39
agm003290430,Sr5Ca3,8,6.7,0.2725,258.85
agm080653407,AgOF,12,319.7,1.8389,564.63
agm005555349,Ag2O2F3,7,379.2,1.8619,629.25
agm005758562,La2InSb,8,80.85,0.9247,236.72
agm002342406,LiSnIr2,4,78.4,0.8144,275.92
agm009693817,Sr5Zn2,7,44.15,0.565,265.32
agm002154810,In3Ir2,5,30.57,0.466,249.15
